
2023/08/20 (20:05:52) | ===> btop++ v.1.2.13
2023/08/20 (20:05:52) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2023/08/20 (20:13:09) | ===> btop++ v.1.2.13
2023/08/20 (20:13:09) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2023/08/20 (20:13:11) | ===> btop++ v.1.2.13
2023/08/20 (20:13:11) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2023/08/20 (20:13:14) | ===> btop++ v.1.2.13
2023/08/20 (20:13:14) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2023/08/20 (20:46:55) | ===> btop++ v.1.2.13
2023/08/20 (20:46:55) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2023/08/20 (22:22:21) | ===> btop++ v.1.2.13
2023/08/20 (22:22:21) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.
